country,users,sessions,bounce_rate,pages_per_session,avg_session_length
Caribbean Netherlands,7082,10624,1.0,1.0,0:00:00
Greenland,7082,7082,1.0,1.0,0:00:00
Guinea,7082,10624,0.3333,1.0,0:01:44
Guadeloupe,7082,7082,1.0,1.0,0:00:00
Monaco,7082,10624,0.3333,1.0,0:00:11
Marshall Islands,7082,14165,1.0,1.0,0:00:00
Martinique,7082,35412,0.8,1.2,0:03:35
Papua New Guinea,7082,10624,0.6666,1.33,0:07:56
Réunion,7082,7082,0.5,1.0,0:00:28
Andorra,3541,10624,1.0,1.0,0:00:00
Curaçao,3541,3541,0.0,1.0,0:00:29
Congo - Kinshasa,3541,10624,0.3333,3.33,0:06:17
Congo - Brazzaville,3541,7082,1.0,1.0,0:00:00
Côte d’Ivoire,3541,3541,0.0,1.0,0:00:00
Cook Islands,3541,3541,1.0,1.0,0:00:00
Djibouti,3541,7082,1.0,1.0,0:00:00
Falkland Islands (Islas Malvinas),3541,3541,1.0,1.0,0:00:00
French Guiana,3541,3541,1.0,1.0,0:00:00
Gambia,3541,3541,0.0,1.0,0:00:30
Equatorial Guinea,3541,3541,1.0,1.0,0:00:00
Mauritania,3541,7082,1.0,1.0,0:00:00
Sierra Leone,3541,3541,1.0,1.0,0:00:00
San Marino,3541,3541,1.0,1.0,0:00:00
São Tomé & Príncipe,3541,10624,0.6666,1.0,0:00:33
Tonga,3541,3541,1.0,1.0,0:00:00
